Date,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1910,15.199475840000002,15.64256365,15.68505146,15.08824417,14.58304983,13.780080689999998,12.165636739999998,10.21040101,8.787617489999999,10.12902377,11.270630719999998,13.485563775000001
1911,15.28800514,15.608034289999999,15.810299610000001,15.50959797,14.533651820000001,13.574090589999999,12.01690356,10.20332341,8.88804171,10.043787479999999,11.270630719999998,13.485563775000001
1912,15.240597949999998,15.67003236,15.73959077,15.625563629999998,14.60158152,13.67525833,12.224640229999999,10.35971998,8.93479185,10.08878403,12.268114719999998,13.485563775000001
1913,15.208307340000001,15.433160449999999,15.87616423,15.960387560000001,14.43908425,13.282015639999997,12.54907804,10.925712579999999,7.77942927,9.994438500000001,12.268114719999998,13.585332255
1914,15.128885100000002,16.02421967,15.87539653,15.150898009999999,14.54251854,13.50691516,12.20031135,10.21429604,8.897068229999999,9.807374889999998,12.098217479999999,13.341961715000002
1915,15.128558510000001,15.43369546,15.1776294,14.99630664,14.07739199,13.368923769999999,11.972941989999999,10.23946174,8.14872987,9.426100129999998,11.258626029999999,13.485563775000001
1916,15.24227938,15.703327999999999,15.164913020000002,15.04104255,14.7301906,13.70323719,12.59986583,10.90374959,9.251468209999999,9.228176340000001,11.25913724,13.485563775000001
1917,15.117938680000002,16.07142159,16.39322414,15.384671659999999,15.06861615,13.886475959999999,12.53227486,10.87123441,8.8085519,8.78303927,11.415586179999998,13.485563775000001
1918,15.09452512,16.027399879999997,15.772524390000001,15.7776879,15.05572942,13.759746109999998,12.52228472,11.05312995,8.7723883,8.742111139999999,11.415586179999998,13.678613165000002
1919,15.408724190000001,15.549676139999999,15.67872943,15.502886499999999,14.61047454,13.552134289999998,11.892447319999999,10.30770253,7.902326519999999,7.87552656,11.185174699999997,13.585332255
1920,15.16874571,16.06462115,15.573311620000002,14.88331343,13.98677952,12.936830129999999,12.10314064,10.408759380000001,8.43583301,9.546528239999997,11.538053049999997,13.914583895000002
1921,15.145502220000001,16.0458849,15.741190120000002,15.05295052,14.732899119999999,13.665563979999998,12.15774835,9.89927292,8.57714844,9.37897623,11.416697509999999,13.485563775000001
1922,15.22392111,15.467086129999998,16.351639010000003,15.33424047,14.26108241,13.125665029999999,11.669901569999999,9.63193699,8.40529154,9.299887069999997,11.416697509999999,13.485563775000001
1923,15.201146860000001,16.139693389999998,15.637245360000001,15.37230999,14.26280318,13.5814799,12.05918186,9.47091032,8.54875244,9.26265411,11.585004269999997,13.784001735
1924,15.287845660000002,16.03857626,15.42281344,15.025470259999999,14.38697428,13.243152349999999,11.6393752,9.23985438,8.09653191,9.712060959999999,11.416697509999999,13.485563775000001
1925,15.33129773,15.76793323,15.544488440000002,14.611124989999999,13.780439820000002,12.844128559999998,11.210431739999999,9.55980009,8.57714844,9.37897623,11.353703209999997,13.705241975000002
1926,15.073903260000002,15.52562451,16.0409382,15.12602654,14.28049004,13.161499299999997,12.27009794,10.09486496,8.57714844,9.37897623,11.278222099999997,13.109746805000002
1927,14.981345000000001,15.774306249999999,15.2138374,15.27718821,14.51359368,13.55290258,12.586380649999999,9.88399283,8.57714844,9.37897623,11.237430109999998,13.585332255
1928,15.095519670000002,15.902632149999999,15.44762806,15.090480249999999,14.37081619,13.22015383,11.77732013,9.893777519999999,8.49924461,9.647821910000001,11.405435709999997,13.499611855
1929,14.515781780000001,15.704485299999998,15.728902090000002,15.743008269999997,14.77553177,13.545127579999999,11.95301251,10.18798109,8.423347979999999,9.656602399999997,11.834838679999999,13.866765295000002
1930,14.16077049,15.839845439999998,16.43848964,14.8486266,13.89829447,12.757493689999999,11.29043963,9.43650536,8.16909176,9.04606995,11.312317139999998,13.346062755
1931,14.94148409,15.524580489999998,15.23429196,14.80111329,13.74767173,12.857221999999998,11.216403889999999,9.61562698,8.57714844,9.37897623,11.439016009999998,13.831135505
1932,15.33118695,15.856462650000001,15.45547457,15.553866749999997,14.36341905,13.402719459999998,11.387448209999999,9.85352266,8.257656859999999,9.601865539999999,11.237430109999998,13.585332255
1933,15.010860619999999,15.40237448,15.3903544,15.099089280000001,14.193206420000001,13.02866744,11.83032248,9.31849649,8.097828329999999,8.25186067,11.415586179999998,13.579943085
1934,15.12129913,15.243752339999999,15.336132260000001,15.23257393,14.83491797,14.4354135,13.00643659,9.72182973,6.9784413999999995,9.588117049999997,12.054331959999997,13.486856405000001
1935,15.13046606,15.537699799999999,14.885434120000001,15.31517205,14.8951438,13.918583259999998,12.45025982,8.77419148,6.95831208,9.321210049999998,11.058121769999998,13.559638585
1936,15.13300971,16.040581869999997,15.976255640000002,15.48529113,14.443615150000001,13.84874374,11.688972080000001,8.77184942,7.942711879999999,9.248649359999998,11.332388899999998,13.379047945
1937,15.09410184,15.86136265,15.650213580000003,15.61324583,14.219441219999998,13.748215089999999,11.13249669,8.22496185,6.9367718599999995,9.45225983,10.980220459999998,13.784001735
1938,15.06557025,15.657535619999997,16.13168807,14.9037151,14.498414980000002,13.559897959999999,11.03917101,8.22188001,7.81400567,9.86646756,11.741756759999998,13.534600385000001
1939,15.26252144,16.03635242,15.36160397,15.034782189999998,14.42536141,13.633168119999999,11.467082139999999,8.84527698,8.24456984,9.558204159999999,11.850615969999998,13.997730735000001
1940,15.579952729999999,16.19686923,15.34418898,14.28894538,14.14605107,11.983319979999997,10.41667878,7.797751760000001,7.965574499999999,9.36048426,11.65281673,13.517054965000002
1941,15.051336379999999,15.4105879,15.94063855,15.54852658,14.39215621,12.82481067,10.383036899999999,7.720735770000001,7.46453266,9.403653389999999,11.574079619999997,13.577516635000002
1942,15.165778620000001,15.918276559999999,15.143961670000001,15.835512470000001,14.52228455,13.045651939999999,9.885205159999998,9.08877831,7.213472179999999,9.44718185,11.930720199999998,13.334715645000001
1943,15.08063275,15.51588787,15.586493140000002,15.494561749999999,13.97098624,12.62219642,9.75737289,7.1741407200000005,6.84743124,8.777815319999998,11.496645569999998,13.585332255
